puuid,leaguePoints
ou1C3gq2RjSErZxC5hQcSRG8CB0-pyIDjqrFa_VDNHZ_ag5DnlHOLkwUcLRBvkUAhsdTatkXEo4u_w,790
0vdNollMbP6PxDyf35FWvP6LOZQzZNKNDmWzwSxdZrxvfAqPE_L0v4jwBwRHUxPjdbKg3X9bT52Ydg,788
MCI4xEhmtL7bxaCD8sLl8MEQehUmpfZVJZuI7eViXKJ5erXLginy4uuKll_CGHeZLdx5Fg9NF9W6bw,788
aNExCiergtj1IjS2EPqqta5DogzPzHUI775J8YUe01o1it-h4ZyIXtc-6XXefFl72cCpgcldThzyQw,787
W7AQGmkF9XsPJMIY4u1_WHOgirGZn40Vau-8xAObwr8jbSs7_vjNY6gOwuzgUCqaOjW-VOKDFwvAmA,786
ZV06IZQq1eI9c3mAGTm6FZ735CR-1AMmgg-9IdtFeMynJ3lssXKt87xcp8KuEJNl2UHVZdxpvYn97g,786
JNV7KmYUrlpWyTNxBRqViiv2M9O3N-mV_Mzj8RE0NZPhvhcTTJYFD8QaJ2y4sCrpNezUtDTNncNZcA,785
6-kH-1vVUPK0glT4nAF6W8_vzgp1pOUeECRZ_d2aUz7x85JMJyAvPST7ppp1Rn0dXDgW6uxtbLp4PA,785
WIIknpl_DVU6p7lwhyFTj9udhYI0iPLQb7iYMs2Jn3EI6n-7ioYS_kzNy1TvwlIq7ksFCu1YZZAJXQ,785
gL11OTIaySBB-rg_NJ-V92ldvaOIZvGYH1LNltNLgui4rsfbvAxQNjmIHe94zosw0iu1020oFWlLmA,785
WKnpQs4NPgBEwepTFjOS63rI4aIusL-PhCLluVvL8DLoM_pbZiJxdpffyFcNCjRnQe5yQCh01jRZcw,784
aK1LgRidQWUsmQH5qJ3J6V6Lzpa--r6okrkZWnehnuWX_q8a671FTymKknRaufYlVsq36EssZg-RNQ,783
Ut4_GEP1f4GIBoI009u7CUIFoEfWiqn6cDnuctxPVv_C4NBiLvsGdPVQ4vFhziPTJLxTA56_suHC0Q,783
tWoHQNW6gcxEcnumSga_fB0SuAfKnDcU48pV0KwtvFvMV8hP90AHlbIYRDf1O4jGNnuuxUbusG0efQ,783
7rYSd_ruOaGZPr60v0ppqB-4U1_3G9rum2tcbDC2IHFX1lyjY4czPKAkfOOnjnwF70YM7aCcgASUxw,783
TntK6sgBmtQFnBFUodSLx7jgVReeZ9Uhm3bgjoMGKWJC4Ilp9SCtCjFXUZ4sauqN0AXfeN-EZcfo1g,782
jq8PSUfpC52Q6ZzNLN73cu3r3KcS1O4rNibFEbd80Bl9HVO_b3leD8zQyNEV99mMeFDYUKESXE2NcQ,782
ptmPBV3KUcloeaGy1_smCe_j0uhronhfkDdYARGRJ3ZQCL2N64CzHtvsSogqcZJva3lPMae0tLYVhQ,781
8aB3f4Oeh2FSCdraYZ_ceqDLzMV7Bjcpq6srjffi4iPeTM3jtTr5g1V-_6UwJteK1LXlE_qco2YOyQ,781
CwATl_qTGazWLHYb9jLvBt3qOk7mA9MTO69VJ7kfqIrdlRoYdY_GzJUF8dpgeFKnKg1MlmotwzstDQ,780
wYKH5umpBwmXcr4FMiszSujIe2oURHmvBHKbFHPe_hIP3aTfqlSfv3SZwPbKEnkgMYMFyP6nwvV62A,780
s4ERgyT_mJSi2Hz5uM4_tX3t2W6Sfcxhb7ARAi3kUhE_fngVS6izkzw5ohl9K3EU2PZFeihR2s8-UQ,780
udHfaEAwgBPLcXeKoWLO9bbxKg73hSNQwEzeRqa-EyOcj5QwN7IJVmuP9Spm_b1_Dro4KIqFIHgEbA,778
qK32WJh3Tle4ZMAAwfgAysCOhdTiXGKkUiLCLNAyI5ZBXes_Li_MyHmlPIFjChDl74gjKDzFu4yeMg,778
NOwL9mxGC227Es7Yg2CpfdT888TBS9-OTmfLDck-SEd2pfzxP2U02htmzL85EFGCUAZCKFi9ohTheA,777
