puuid,leaguePoints
UpDJysvXoXqHdIDsRbU5gYUCMtPI9LUjCVe1vMzBfLZSsB0y2oOiovNkiomY21SYFvGbchWkgYma8A,1066
i52eAPKbyzzKrYa7kKubtjrmzVpBrXmpwD5tv2BKLYve3KyYiJ6-2x22MLZiMlteckrkYotxCo4sGw,1066
pAAoTGqO_di4pZAOMxpD3q5T6BGjDuPawS1qddrzYgRxLmZ6np-RNaaGKa6sQLRUwWQEocmcvQePqA,1065
Z6NH2nPoiQ6cAZEwrYJlS3myDb4BTpjExOxYcWr0Gk9tyJsHLGqxU0hVN19Rmy1NtqlKVt3o3FRZWw,1065
k00Ql3H6Op98OPAj7RbgleQcBon_NvEAIddomcROwTzUgp5XRj3fjPg-SS6QXfWLJo4anuL5qz9GHw,1064
Aco074Ji1we77fOneFLpcc1NJWm75cwfuL3mGBOEuuBWETZmSuTu3TKczcksZFqrs2P-7BbkbGiLEw,1063
ttQSDbhOjGu3gemsDCd13G2RB5tDYttbsFTGwbWmmZN2tN_EYFf3Yxr1WwiVFGHx9P6wugS9c0pDBA,1062
-ThKS_z7hRhd08JB8JFj1kx3plu2_6oqx7IW9QzHXwrN1mlBXjEE0x_wz57irdcU9NtkKkcLJ2AR7w,1061
eMYjAbUdgpQPsj0zqG2dEIvsFf7A-StZjbG42njv7PZH7mwu_98cG9XVLVtX9IVx35gjzvmJNy1nqQ,1061
6D_DqWNVD22fdhDzMF8rSE7j6ULQSLjC9OX3eEzP8PJr_btPrGJ-oEICLsHxfk5Sq5-r__kwirGHIQ,1056
7Dtd8PXbHejAsT5pVcxviS4Hbr3XQKwfNcS4AgJF9uD2J9iwKlR-qZYYHfFO0e6eGN2vkjO4Ue0x6g,1056
keWdAP925etVkh7zbKXRCGf4hW4s0jP8GEYYXqkqOvGKyrH96fK1WboeBb79rzvH5eHsSL3qz4qQkw,1054
NpgD7a1IDON7rdbfH587PeCA6EYth8dgvjo27qGmVqhSC_3djZzjmFMGDKBs071BdVRyieY_D3Yemw,1052
ivofBhfVwu7zDu6Dc4IoADUKinBexsBs68O1QrxYcqsGfuPUwLa1Ftvo5A9l-tvrpXsAd8FpIq3noA,1051
ETJyEb1hkbrPuLO3PaBwowJDv9idB9RQE75xzn0BeJCNKlzKns3L6O_swkz532hxEdSIEzK8sc3HoA,1051
WgcER-QzrJH7j4MZUWfOvheUkCx4zXB7pg7Sv8Xllwymcn6sAg8xiUHvoeByNYKl_QpPRYGQQCMSbQ,1050
T3sJqPgEjivC1JBzdP3ifgy4FayV36oBZ7zb7G1BRrs7BHB7vsvGWA73Nfaf8o6JZBcofKKYqdByKg,1050
HYxKs6W-KkaTbqRLWroK0ua6mm1vdliY8C6TUo84cU5dqqZ7auxL43bJfQHSxaj103MIXIXbhi-xcg,1049
Z4vaNULC2Uy1Sw1GPrx9c1Zqmb4M5CHn5lSqq2ddBLln6r3nx29L0QXmRBoznMWkcOo_r7MbMoTPvg,1049
A0N3SEuE1g7iUuDMkjvDSg0Hze7wPV0J-y5KgYVd6AVHSQERKXjWf8cHxWDAbo28xxpWyU1vW63e4A,1049
DsF1n2dbKVIY3oaDEeF-pNSggBzZsRAdCBNHj_m321G16D29vPDj60byUeJQEUb2PiFxKaWfHyMpzQ,1048
IL-0V9SQgFfxsgleBFFIIZtVrGOP_KVyrz5adOXplAiDITdBVkkVXM4wTdgaermwLq--H22LLaq45Q,1046
Qrp_X9e1NaM9TjdArOgvJwdY99U0c9dUw0yZi9KCo4bPN7VEzXMd6ABa5LCLteOGJlIRvGbGGIKn-Q,1045
QV94GnNFMsd-Qlkwkhc7R1mXWfCJQPEe4XSHkT6rAPMiIGOVqIW59XwJWUkvvPnzgaprDjA9wd2Bfw,1045
oMuljtnRmk3DaiPhNvuOyUrXNvp1hgzntx1BD71KKqgUXxZXlctIZfdxviHsadlvWAQxS0vHXavl_w,1045
gcUP1H6YO9HrHVkWmX46_6twrsQzxu_koe6tqmTxfUoTLVKda91INe5G1QD7XFj4gKHYeTEWEVVRSQ,1043
ocGZFD2nuwRB1xiLvpXh_Qy0NUjFbz9KpFutZHezc4duQBy4Tv05Ke_WyAGul_R2llPWsBkbflUBrg,1039
V983CBZfzXh-lE_XrdXjrc5EJsPBzwXkOX6LJVxQITOYtlHKvIGhX0uqEfftVcYNVAVSWUPy6N2CkA,1039
zA9KxyqhIzwX6zIJ6qy5RzkdQHY6QU18Klu4Zlt_uhT792ytPEWhEegGEH7GFNHZkj7JqlRen8PVPA,1038
