,puuid,leaguePoints
94,CXsi-s4DlsO8ZXE_OHaHXzlMvKgqEmxhQmCDLux5RqpvLuxkb-wg4EgkPRlTes-EE_oG6BEb2xiwcA,1256
95,KRmJ5RdLaQi5cGx7k9m2aUaBs1uA3kZsMH0rU4UyksPkG-QeQMUG5gUlw45NSjIV70Hq-gcANWTTUw,1256
96,MZVk1H4kvDMQsx4tmz78NluIhXM-nz2kiDIr9r6raMsIEbrn3GA6x5a7ClGoJJEtdAhf3jf0BoZPeQ,1256
97,_rFrZFllde45oEG3mKMjxMwhEH-bsBy9KZGesjXxqJyfbjfXrCk_DHAbL8uH1CvQwaE8nep9XY714w,1256
98,kQdGGRsZlmZa6k_Y3Y2ms0TKNqN4uWZGMUAHqWeK03A77ODW7ElSLRd501rG9Ef2f5hQp2eh9bBJVQ,1254
99,BQZ5B8fPhOoyEXZxTZh5_K6L8lW4O40IcKrAmv9ccg0gMILhufVsUVd0Xy70A-0D1380t5CbaE5jmQ,1251
100,iDEnbISC9X47SBeBH6nUircKYCjvgDc5L2TvQVU3klvTIh9X4iUSyxU3BmQqjKBNSXIYtj2Rw-SmFA,1251
101,EG4cZ9w974qR4nlokovchTHhzh2wKz94REwI60UdjnaVocjp4ZyBU1P19JFz-jybtJnUlJqd52l65A,1250
102,et8poIOKdyTPXtkSFTqWHmhCJzjLr7Yxy7bIu99L8Glb10A9gewqnxNLbcG7MjIJUfUIKFIYldCIXA,1250
103,txk53m4WRG2uKG4RLCTnR99MoO0ozJBJo9lWzhYrH6VghBz-k7rg6GyhW6wyzF0_EqPCeb5TCqDKxw,1249
104,pgKuXV6TJHM_9RbpJof5s5KfPWe5C-6jVGEEaIRiK7K3i_zA626GELHaFlWt6nvKKj5lz3ZQCPU3KA,1249
105,ktlPfQbpU-bXpif1u5PieWYbdzY2blqd6QmIxBwV5v-ijvqSJCR2ccJiPrIw8NMwKvz9Ng4t8XNRfw,1248
106,5HQqD5R3bvPFozy5vxDUiO4Iw3VwxLg9adl3okvYCt-fRuuDuubAGDEQd2GfRuRhnIP7a3TMg-Kxyw,1247
107,1zCgWJLCJcm1sbeFxotB_2-QOkNeDEwlZoNSXZXmJZkmMlEoWfzGUProhv1FGCzDcAiypW91_f1FwA,1247
108,-l1fwT7-xcChK0Eq0lqmCUNVDTJvfNvI_uuUDxRuAA2PPpMdfXbIltvxmR9Tah1GI-1Jnf6HAJwYDg,1246
109,MC2wvDDgLI68e6vxGeN24h2aaeyf0z1ZPWIi09LTa2JVhQ7u9CDn74wImnqbootLvR_SGpgZgwqHrQ,1246
110,GB4bfS4UeOn6sl39g6OUl8supAwK48rwR7iJ015bhv4fr9fUkqbqwy6xPvehXkOMp3BxfqXYYBE_ZA,1245
111,f9H_CjTiAT0xrvUnx2Tph2tduY4TByJiWeDaoQXz2PKbYFCfilXjXBVo1VjmrJRpcbnkMocV3_P_fg,1244
112,aevIvYZc7wXKnilYYvSs1NEo3I_kV0Q7t2yJNv9Rn6a9ZuM1Uw-IuqWey414SpoDh659-igDo8eV2w,1244
113,5WWUSI14x6w0lBsBIjyt-e0qovuZke8QwoEhOVa7PsK6o24CiRnpa1YqYZEeZvpxA1AhE-q2wo9UhA,1241
114,RhDMade7FfvW5vLBWiffKYMu_RS14ymhx4owHQtc89amD0Z8auGHx6sJMNFxSZalu-7xhjQtpUZ3rQ,1240
115,dcHUc_3SO-VOPrx6vJY0gUVmyJdhNHBWb9Syt00hLqQUuzr6YUq1ntWvKXBojm0JvBTuKin7RprriQ,1239
116,TQXcIPQP-qz_0HZYJpdsdfTrgPTTynUpMnZWkGP0mJLcjn1UbSnjfdXE1l-RtFv0f1xzZlaCDnFOtA,1238
