puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,riotName
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1475,I,338,215,True,False,False,False,CHALLENGER,지보배#KR1
kw3Xrxn3BxwX0ztJLdQ1DfegSvv4WDl31CqeE7khJxJCaYksZpvjNmF_ECtJpxaCy3BppUbE7VnsnA,1475,I,133,59,False,False,True,True,CHALLENGER,steelo of bora#azika
j0533H0B86Aap_oncLbR_hSePY36W_IpMsFO2PWYAHhYXc5_qW9_o2mORlWNVMphg9-m18sIiW7ajw,1463,I,224,134,False,False,False,True,CHALLENGER,전형수#KR1
3KguYfu0NWRrrE8JKU79CahyVmb5lDTabLe37DxoEGAttYh1Gn7jOglR1VKzG8XSjCCWJiGEDzd3ew,1452,I,143,71,False,False,False,True,CHALLENGER,06년생 롤체1짱#TFT
fhTkWf40YNzEkruzMSsMxM9lbv1DfyO2AMKr0pt3YdUw-HYf_kDdlCP641Ghk7jFx7xEd3rz6Ui3og,1449,I,353,218,True,False,False,True,CHALLENGER,세훈에몽#KR11
t8h72X37xPEdig9OeyhL7W66QS-OqxRspmq8OrwUrtELKJvPLFhmTLqRNPxEcEMfOfrnBikGse6Aww,1442,I,278,216,False,False,False,False,CHALLENGER,선종아항상겸손해라#무지성
xmkgzADnL8XUj2Wn-3-ngHRKrVqpMGZCUfoZgWD7kOxwIzxJgQqEic92irr68V4cjxuKlT1tO3-Zag,1437,I,213,146,False,False,False,True,CHALLENGER,Aalc#KR1
Y251v-33mlhr2bKfah8SennHmlDHHaBxTXe8hqwWvRxA5xcxuMUK4PYFdhfwG5g9mSGYll5wP02XVA,1431,I,147,80,False,False,False,True,CHALLENGER,Hyun#H10
UtmcGRo9tKNRw8CQ-5WK5wH1hSoqM2Y2y-Z9Z5de7LTKiyott6W4YeiRdnYcRlu6mVtMEleX9mmSmA,1424,I,467,380,True,False,False,False,CHALLENGER,gogongsing#KR1
14gCX9jYV1-FIjjMAx6pGgS36hHGx_WTnQc4Imp1saOFPwez1BSz3npYtkpc8mcrI-coyZ1cuIU-uA,1412,I,457,372,False,False,False,True,CHALLENGER,클로버#1111
