puuid,leaguePoints
Plz0G2RnALNCnJ_lLYiLE7079s-ixW29iP6PCjWUWc-GdBYkIOSzJOgxtk_M_hHia--VN7qkT2-Qfg,1327
TXt6lfI3djqvu8KPFRLKpSKTksnOyUXZvjWwNu3j0w8wQ2wWR-QKD1ZN-jinoiIhBw_NhtlKIlfs1g,1325
QCFHKsrN-953872_eh9RcBuvtT0EcALtKuhSzsgg90F9p-z4d7ICgoYuXsJ9sSrda_3PAUiHpk2crA,1324
UuwFqGuP5rvTvjRcctDjX6fio8_M5H7Out6W5mFKZzs0XECPtPtrYmv4u54aXN_vDG8t6ZaSzjcUOA,1322
kG5Jqy1HHgpFpOrYnBhhOo7wATIUHrtDnAR2BOsHfWorJn68OgljaA2bTRhN_Q6CbBBxGjzVP1dN4g,1320
RJ81AQHRDZ_K4ZfhV8-GgcSlbZL7nQxTDivAldjtNBp0J-aBj4Ah7zfTS9bZKxUFLfsyiXXzz14WuQ,1318
fsj60ZNoqeU2Pbtz6BhFDgaRNWgLmaAPi39OMiJv4zB-xY4Q1bKCp8Qq5bqRzsY6vU5Y4jWohIzW3w,1317
rxU0aTNnMogvAra1HafOK6Y1vfuuleqS1YRy1JNaDPn44Mn0TVAFqKi9fbeS8aw8VaBLrV_aq1FTTg,1313
O8SuzG52LDZPVR_Wzq0rltgWsgK09V4LZyANoI0VHkPOhplWXW_GZjtS-K4zE6I9AA4b-869n2DfjQ,1309
6c7lnJMXaO9yc-7cbvvbStwB2TEb-A3xFj0bg4Cykegxw-yF8n4cMOwyKwKxJMXgTIEjmuKQU45FDQ,1304
-JQRaJBlZTVfq5bkuPT_gjCOKEI1IRlZ7TieLKlQL0kEdoPUgMI-By-Doz-Zpdfq4gy_DbwGleEdgg,1302
9pYPxWNi8ofWlDtL2L-BNGFvalbCIRSnqRyDTJM7Ob7kbwJGcoFdsSggIu1BtRZf_ROeE_JDRfo1JA,1300
0zABnHJPLXPAKZbyC7Ed7vDX139wMIBPW_G8uHTLC1mh4E8MUq2jzOuK4TOFpoWIXLrLOxOvq8FYGA,1299
kcEMjeGcV0AKU5pOIB0TApn7MMB2FSH0W5LpYZteor9RjlXfS8qL5cG06-hUYiobeAtwy7iypdWdcw,1299
rYSTe28ll9B1diFt4VGcNnsDqqIfMpyX-5-1nrfmwvyOk5N-SLOM2sfnq2UzmUhdqfwLoVZWfF4KNg,1298
xnzt42ageuh_GOFd7if6_B6d-dwHMOn-MKcRzt_f3rzgF3jyvzVxSfJQPHThQ9VnqGulTppwT4-7Gg,1296
gjuRj7p-SVgPKOhV4ArRoJuaIiOW8BE1VjPO6G4YDRXzO9RDexXcWIEriLF8saUcAMMbP1CRWnhJnw,1295
ILNqHwKt8-zjM3orSTmAhoZ62xBehzwn1v3_g-AEUTEYWhF0kgHDyrnyAlXvfDLt0DMDgePbfZwpnw,1293
hpP8iaIznjR1y27Iw_ytNaPwzmT20nWprCgxX4_D2TB_CxD3_La0hL1ffkfbNsShADDzo5GiXpUOXQ,1291
pbj2gGXadX6eJUaVay0xO3R9sYMp4xberOttZUzdNB-n9F-j-KwTtks8_3vKH2PxvNG7VC9iE4WBhA,1288
l1Sj_EJBkwSmwkf5RdMXeTINVca_1C40dTZoKNVt9VnqujJNd6ZU9xTmE6Q5WfdS1rQN5L74eI7yuQ,1288
6e8k4IzPkZs5xopm6vNVAMs30FlQpvf6xIPiO_k0C-4TFj8WPwjvA_N5pLkebr6eu-NDEeXZnrJdMA,1287
1roPEWaakUR9hL9UtSFRehy9q_UBewe7j1zhzNPh60BrG8nhgBMpY9gmBP-sQlnl87MIgFWAFnPRLQ,1286
gncQ8FVoVslKV9WsQ88FgEjq2VFAuVV_3qfIxb6ze1xFeXSEWaVEkxHYOtSIyZn83kZ4e_OACX8hKw,1283
DERfEgLZYkfgYDYn0Xp6AaVMHAxY2_HQ1JJuVW8qum6AoXFmk0eJx69C0D-LpdJQcfqvWDR6lJmvTQ,1281
O0SbHxnDvywmBN1NUDIOZc40nx6zHnUMeZhI2L-LMyaEOkG_c-69UuywbKvrBy15fyPm0FoR-t1HMA,1279
jHZ4tMAH7RG9vv4gwfhFk96D4wmNnM8BqsGd1hbGAvNju0zu3hfHwiwREt-5s2YGZGW6B4-mltMEbg,1279
OZllhzQ5Nhflq9n12aVcuoOFughoZJXckrOLSDwcqemCXCEtjyyDaIyI3g9HcCAKJskDhrCBsh1-9Q,1275
J_o18IIXilk8TLc8cbeF1h4D1XDL4x2Yyazek5N1jPY0Y4rP1qZTGYHAVCSKqBLMFZN0mckZ3JV5lQ,1275
EtojhuroiGtdXFQKJHak6llvMLcgK07DppFFL3dOD4HoDbdZX69p_N_cYQHIM5-4krM0IZmse3Vv-w,1275
n0BbGN7WgupW-mOG0OsV46SCQxeD2fXSBLVK7oeWclVdvBxnVQfPkEfw-cwfafVv1H-fUdRw2MQVSQ,1272
XS--gv-QceptzaFNr7bS7Wyx9de91ys04631pGXWCCxu0URmXNawsBlJVHn6wjdH4ztABKR_yMMxJA,1271
HSsGsj2coG95ZHQZJCaa5rSPDBwkLizDyYmDy9986Fwc4wP_ANg4KTNGkyYPsGVPVonuxxWnaRfr7w,1267
Qinlkzveg69S0a07eGP39d5wwb54vn2AYdKQfH0jXX6y8JtCNWWsieMnFZUpPV7J_TksVepwankFEw,1264
pDwxjhymULfx1pVhwCT9oEk9pbqcaXpBlBVYj-EELD5koOiwRcUZQ6wNT1VqU67yRaRxf0FZi4a1Cw,1264
Qvw4dLSuTSkUjjjmSGFw3433Ekd_VIwG2DS0iwbT62VmqGRpJz5B8AlqBiSkBzHalaQC8EkoMwKnow,1264
Y251v-33mlhr2bKfah8SennHmlDHHaBxTXe8hqwWvRxA5xcxuMUK4PYFdhfwG5g9mSGYll5wP02XVA,1263
et8poIOKdyTPXtkSFTqWHmhCJzjLr7Yxy7bIu99L8Glb10A9gewqnxNLbcG7MjIJUfUIKFIYldCIXA,1263
ayq06sgJkoK_cizx2ebsr6bw0gwO9Cxnyj5tSJMT3fTMztvSRlhmG5GS0HNV4uIZa8_qjCjbcYJcCw,1262
Pv4PAu3hp42N_eVKMu_RvIJxi9uOIaOdl7UrJcSGghlGsYmVuALTynQMIka86IfMdn6a-2Z1L1L8HQ,1262
rVfWje9fEwqCJblF_KF00gvCiGBDmTThmtkHwWLjTzOLGHFwl5hrDJd7MiOfkY26lEgvtycUg-kRjA,1259
Jvks96U4gxe1Sy3lakwaKLGY6e4QxCV7E26sC7MIUM_zFQnAtqsqXzdM9qttrjKg213SnOcm3MT-eQ,1258
KRmJ5RdLaQi5cGx7k9m2aUaBs1uA3kZsMH0rU4UyksPkG-QeQMUG5gUlw45NSjIV70Hq-gcANWTTUw,1256
MZVk1H4kvDMQsx4tmz78NluIhXM-nz2kiDIr9r6raMsIEbrn3GA6x5a7ClGoJJEtdAhf3jf0BoZPeQ,1256
CXsi-s4DlsO8ZXE_OHaHXzlMvKgqEmxhQmCDLux5RqpvLuxkb-wg4EgkPRlTes-EE_oG6BEb2xiwcA,1256
b67QHEi9PD1Sk_WupqDuIiZLZEplnaDlXwEDvADxfEqAETkPgcaYaYRTNeD6yJ0116t_1zEcxKwo7g,1255
iDEnbISC9X47SBeBH6nUircKYCjvgDc5L2TvQVU3klvTIh9X4iUSyxU3BmQqjKBNSXIYtj2Rw-SmFA,1251
BQZ5B8fPhOoyEXZxTZh5_K6L8lW4O40IcKrAmv9ccg0gMILhufVsUVd0Xy70A-0D1380t5CbaE5jmQ,1251
txk53m4WRG2uKG4RLCTnR99MoO0ozJBJo9lWzhYrH6VghBz-k7rg6GyhW6wyzF0_EqPCeb5TCqDKxw,1249
pgKuXV6TJHM_9RbpJof5s5KfPWe5C-6jVGEEaIRiK7K3i_zA626GELHaFlWt6nvKKj5lz3ZQCPU3KA,1249
5HQqD5R3bvPFozy5vxDUiO4Iw3VwxLg9adl3okvYCt-fRuuDuubAGDEQd2GfRuRhnIP7a3TMg-Kxyw,1247
-l1fwT7-xcChK0Eq0lqmCUNVDTJvfNvI_uuUDxRuAA2PPpMdfXbIltvxmR9Tah1GI-1Jnf6HAJwYDg,1246
MC2wvDDgLI68e6vxGeN24h2aaeyf0z1ZPWIi09LTa2JVhQ7u9CDn74wImnqbootLvR_SGpgZgwqHrQ,1246
GB4bfS4UeOn6sl39g6OUl8supAwK48rwR7iJ015bhv4fr9fUkqbqwy6xPvehXkOMp3BxfqXYYBE_ZA,1245
aevIvYZc7wXKnilYYvSs1NEo3I_kV0Q7t2yJNv9Rn6a9ZuM1Uw-IuqWey414SpoDh659-igDo8eV2w,1244
dXvBrC30yN3ilxlWeoP9Y5kFSuALN1RxgZkyJdfl1yuc6WseA3Fwxes0BV1bY1brAVGw7NcePBBOsQ,1241
5WWUSI14x6w0lBsBIjyt-e0qovuZke8QwoEhOVa7PsK6o24CiRnpa1YqYZEeZvpxA1AhE-q2wo9UhA,1241
tuZ1NdhDnKtxZTq8zN7zIUFNsALoOFUKu2qRyiAFbm0nOz43YCcYFeEjRqMpIvpux3lv0WNhWHp65Q,1240
RhDMade7FfvW5vLBWiffKYMu_RS14ymhx4owHQtc89amD0Z8auGHx6sJMNFxSZalu-7xhjQtpUZ3rQ,1240
dcHUc_3SO-VOPrx6vJY0gUVmyJdhNHBWb9Syt00hLqQUuzr6YUq1ntWvKXBojm0JvBTuKin7RprriQ,1239
62pgNsnRHkSQafMTHzIuifsGOVqBCoiERczXx4BHkeB68bzFdqys-zDwbQB4oT3kP2cAGNN0_uDdGw,1238
GfBXztZJl47oXy7BwNa_0KAdUbLCoQBFFkPWt-AHVkORDaCbS8TCo5vIxVJ7rcKFfDy8RIiAuH6Fjw,1238
1zCgWJLCJcm1sbeFxotB_2-QOkNeDEwlZoNSXZXmJZkmMlEoWfzGUProhv1FGCzDcAiypW91_f1FwA,1238
TQXcIPQP-qz_0HZYJpdsdfTrgPTTynUpMnZWkGP0mJLcjn1UbSnjfdXE1l-RtFv0f1xzZlaCDnFOtA,1238
aAiiBcFgrYUlcDUwVKDx-FMXtuUY4iHtRqcjwF-VIxH1NEHRNDrC6KGsw4XWNhJ_e1Q80k_RD3TZsQ,1234
d0Ra7Arr9MwuD6d9jfv5AI-92tXZlBm1P5c0B57NXCYiccdsNNtpkjwY6DFzDVfKTFsrnrh9qUgYag,1233
3KguYfu0NWRrrE8JKU79CahyVmb5lDTabLe37DxoEGAttYh1Gn7jOglR1VKzG8XSjCCWJiGEDzd3ew,1233
ktlPfQbpU-bXpif1u5PieWYbdzY2blqd6QmIxBwV5v-ijvqSJCR2ccJiPrIw8NMwKvz9Ng4t8XNRfw,1229
zbFzd5oEvmajt2q6YF4R_uNnqc9COisfe1f32y0ysTsQ1cUj-D63llN1qEtz-OniDBSkCfdlJ5cIqw,1228
riMeua8JwN0D7Qc7G1mIX9JIRW_XERh6RiP5KdPkXFBnWvG8WnwUuzOB-cJiMDH09YErSuxB_sT8Vw,1226
kQdGGRsZlmZa6k_Y3Y2ms0TKNqN4uWZGMUAHqWeK03A77ODW7ElSLRd501rG9Ef2f5hQp2eh9bBJVQ,1223
lSFkOx9rFTwwzGd6A6j4eXuHLjgY_eDBYonX0Te-tPAXbmeeJVkcbtcI6RZZgYZGSrnSQ_-zfKhazQ,1223
zRb09LLDIlALgmrO7AI2V52lCNLf0K15YhEKhb951dx4DgqgPrXZqHF9PxBw0JzOcVS3og8iTy6pbw,1221
