puuid,leaguePoints,tier
O8SuzG52LDZPVR_Wzq0rltgWsgK09V4LZyANoI0VHkPOhplWXW_GZjtS-K4zE6I9AA4b-869n2DfjQ,1309,Challenger
6c7lnJMXaO9yc-7cbvvbStwB2TEb-A3xFj0bg4Cykegxw-yF8n4cMOwyKwKxJMXgTIEjmuKQU45FDQ,1304,Challenger
-JQRaJBlZTVfq5bkuPT_gjCOKEI1IRlZ7TieLKlQL0kEdoPUgMI-By-Doz-Zpdfq4gy_DbwGleEdgg,1302,Challenger
9pYPxWNi8ofWlDtL2L-BNGFvalbCIRSnqRyDTJM7Ob7kbwJGcoFdsSggIu1BtRZf_ROeE_JDRfo1JA,1300,Challenger
0zABnHJPLXPAKZbyC7Ed7vDX139wMIBPW_G8uHTLC1mh4E8MUq2jzOuK4TOFpoWIXLrLOxOvq8FYGA,1299,Challenger
kcEMjeGcV0AKU5pOIB0TApn7MMB2FSH0W5LpYZteor9RjlXfS8qL5cG06-hUYiobeAtwy7iypdWdcw,1299,Challenger
rYSTe28ll9B1diFt4VGcNnsDqqIfMpyX-5-1nrfmwvyOk5N-SLOM2sfnq2UzmUhdqfwLoVZWfF4KNg,1298,Challenger
xnzt42ageuh_GOFd7if6_B6d-dwHMOn-MKcRzt_f3rzgF3jyvzVxSfJQPHThQ9VnqGulTppwT4-7Gg,1296,Challenger
gjuRj7p-SVgPKOhV4ArRoJuaIiOW8BE1VjPO6G4YDRXzO9RDexXcWIEriLF8saUcAMMbP1CRWnhJnw,1295,Challenger
ILNqHwKt8-zjM3orSTmAhoZ62xBehzwn1v3_g-AEUTEYWhF0kgHDyrnyAlXvfDLt0DMDgePbfZwpnw,1293,Challenger
hpP8iaIznjR1y27Iw_ytNaPwzmT20nWprCgxX4_D2TB_CxD3_La0hL1ffkfbNsShADDzo5GiXpUOXQ,1291,Challenger
pbj2gGXadX6eJUaVay0xO3R9sYMp4xberOttZUzdNB-n9F-j-KwTtks8_3vKH2PxvNG7VC9iE4WBhA,1288,Challenger
l1Sj_EJBkwSmwkf5RdMXeTINVca_1C40dTZoKNVt9VnqujJNd6ZU9xTmE6Q5WfdS1rQN5L74eI7yuQ,1288,Challenger
6e8k4IzPkZs5xopm6vNVAMs30FlQpvf6xIPiO_k0C-4TFj8WPwjvA_N5pLkebr6eu-NDEeXZnrJdMA,1287,Challenger
1roPEWaakUR9hL9UtSFRehy9q_UBewe7j1zhzNPh60BrG8nhgBMpY9gmBP-sQlnl87MIgFWAFnPRLQ,1286,Challenger
gncQ8FVoVslKV9WsQ88FgEjq2VFAuVV_3qfIxb6ze1xFeXSEWaVEkxHYOtSIyZn83kZ4e_OACX8hKw,1283,Challenger
DERfEgLZYkfgYDYn0Xp6AaVMHAxY2_HQ1JJuVW8qum6AoXFmk0eJx69C0D-LpdJQcfqvWDR6lJmvTQ,1281,Challenger
O0SbHxnDvywmBN1NUDIOZc40nx6zHnUMeZhI2L-LMyaEOkG_c-69UuywbKvrBy15fyPm0FoR-t1HMA,1279,Challenger
jHZ4tMAH7RG9vv4gwfhFk96D4wmNnM8BqsGd1hbGAvNju0zu3hfHwiwREt-5s2YGZGW6B4-mltMEbg,1279,Challenger
OZllhzQ5Nhflq9n12aVcuoOFughoZJXckrOLSDwcqemCXCEtjyyDaIyI3g9HcCAKJskDhrCBsh1-9Q,1275,Challenger
J_o18IIXilk8TLc8cbeF1h4D1XDL4x2Yyazek5N1jPY0Y4rP1qZTGYHAVCSKqBLMFZN0mckZ3JV5lQ,1275,Challenger
EtojhuroiGtdXFQKJHak6llvMLcgK07DppFFL3dOD4HoDbdZX69p_N_cYQHIM5-4krM0IZmse3Vv-w,1275,Challenger
n0BbGN7WgupW-mOG0OsV46SCQxeD2fXSBLVK7oeWclVdvBxnVQfPkEfw-cwfafVv1H-fUdRw2MQVSQ,1272,Challenger
XS--gv-QceptzaFNr7bS7Wyx9de91ys04631pGXWCCxu0URmXNawsBlJVHn6wjdH4ztABKR_yMMxJA,1271,Challenger
HSsGsj2coG95ZHQZJCaa5rSPDBwkLizDyYmDy9986Fwc4wP_ANg4KTNGkyYPsGVPVonuxxWnaRfr7w,1267,Challenger
Qinlkzveg69S0a07eGP39d5wwb54vn2AYdKQfH0jXX6y8JtCNWWsieMnFZUpPV7J_TksVepwankFEw,1264,Challenger
pDwxjhymULfx1pVhwCT9oEk9pbqcaXpBlBVYj-EELD5koOiwRcUZQ6wNT1VqU67yRaRxf0FZi4a1Cw,1264,Challenger
Qvw4dLSuTSkUjjjmSGFw3433Ekd_VIwG2DS0iwbT62VmqGRpJz5B8AlqBiSkBzHalaQC8EkoMwKnow,1264,Challenger
Y251v-33mlhr2bKfah8SennHmlDHHaBxTXe8hqwWvRxA5xcxuMUK4PYFdhfwG5g9mSGYll5wP02XVA,1263,Challenger
et8poIOKdyTPXtkSFTqWHmhCJzjLr7Yxy7bIu99L8Glb10A9gewqnxNLbcG7MjIJUfUIKFIYldCIXA,1263,Challenger
ayq06sgJkoK_cizx2ebsr6bw0gwO9Cxnyj5tSJMT3fTMztvSRlhmG5GS0HNV4uIZa8_qjCjbcYJcCw,1262,Challenger
Pv4PAu3hp42N_eVKMu_RvIJxi9uOIaOdl7UrJcSGghlGsYmVuALTynQMIka86IfMdn6a-2Z1L1L8HQ,1262,Challenger
rVfWje9fEwqCJblF_KF00gvCiGBDmTThmtkHwWLjTzOLGHFwl5hrDJd7MiOfkY26lEgvtycUg-kRjA,1259,Challenger
Jvks96U4gxe1Sy3lakwaKLGY6e4QxCV7E26sC7MIUM_zFQnAtqsqXzdM9qttrjKg213SnOcm3MT-eQ,1258,Challenger
KRmJ5RdLaQi5cGx7k9m2aUaBs1uA3kZsMH0rU4UyksPkG-QeQMUG5gUlw45NSjIV70Hq-gcANWTTUw,1256,Challenger
MZVk1H4kvDMQsx4tmz78NluIhXM-nz2kiDIr9r6raMsIEbrn3GA6x5a7ClGoJJEtdAhf3jf0BoZPeQ,1256,Challenger
